code,min_wage,max_wage,employee_amount,employer_amount,calculation_method
EPF_LOCAL,300.01,320.00,42.00,36.00,fixed
EPF_LOCAL,320.01,340.00,45.00,38.00,fixed
EPF_LOCAL,340.01,360.00,47.00,40.00,fixed
EPF_LOCAL,360.01,380.00,50.00,42.00,fixed
EPF_LOCAL,380.01,400.00,52.00,44.00,fixed
EPF_LOCAL,400.01,420.00,55.00,47.00,fixed
EPF_LOCAL,420.01,440.00,58.00,49.00,fixed
EPF_LOCAL,440.01,460.00,60.00,51.00,fixed
EPF_LOCAL,460.01,480.00,63.00,53.00,fixed
EPF_LOCAL,480.01,500.00,65.00,55.00,fixed
EPF_LOCAL,500.01,520.00,68.00,58.00,fixed
EPF_LOCAL,520.01,540.00,71.00,60.00,fixed
EPF_LOCAL,540.01,560.00,73.00,62.00,fixed
EPF_LOCAL,560.01,580.00,76.00,64.00,fixed
EPF_LOCAL,580.01,600.00,78.00,66.00,fixed
EPF_LOCAL,600.01,620.00,81.00,69.00,fixed
EPF_LOCAL,620.01,640.00,84.00,71.00,fixed
EPF_LOCAL,640.01,660.00,86.00,73.00,fixed
EPF_LOCAL,660.01,680.00,89.00,75.00,fixed
EPF_LOCAL,680.01,700.00,91.00,77.00,fixed
EPF_LOCAL,700.01,720.00,94.00,80.00,fixed
EPF_LOCAL,720.01,740.00,97.00,82.00,fixed
EPF_LOCAL,740.01,760.00,99.00,84.00,fixed
EPF_LOCAL,760.01,780.00,102.00,86.00,fixed
EPF_LOCAL,780.01,800.00,104.00,88.00,fixed
EPF_LOCAL,800.01,820.00,107.00,91.00,fixed
EPF_LOCAL,820.01,840.00,110.00,93.00,fixed
EPF_LOCAL,840.01,860.00,112.00,95.00,fixed
EPF_LOCAL,860.01,880.00,115.00,97.00,fixed
EPF_LOCAL,880.01,900.00,117.00,99.00,fixed
EPF_LOCAL,900.01,920.00,120.00,102.00,fixed
EPF_LOCAL,920.01,940.00,123.00,104.00,fixed
EPF_LOCAL,940.01,960.00,125.00,106.00,fixed
EPF_LOCAL,960.01,980.00,128.00,108.00,fixed
EPF_LOCAL,980.01,1000.00,130.00,110.00,fixed
EPF_LOCAL,1000.01,1020.00,133.00,113.00,fixed
EPF_LOCAL,1020.01,1040.00,136.00,115.00,fixed
EPF_LOCAL,1040.01,1060.00,138.00,117.00,fixed
EPF_LOCAL,1060.01,1080.00,141.00,119.00,fixed
EPF_LOCAL,1080.01,1100.00,143.00,121.00,fixed
EPF_LOCAL,1100.01,1120.00,146.00,124.00,fixed
EPF_LOCAL,1120.01,1140.00,149.00,126.00,fixed
EPF_LOCAL,1140.01,1160.00,151.00,128.00,fixed
EPF_LOCAL,1160.01,1180.00,154.00,130.00,fixed
EPF_LOCAL,1180.01,1200.00,156.00,132.00,fixed
EPF_LOCAL,1200.01,1220.00,159.00,135.00,fixed
EPF_LOCAL,1220.01,1240.00,162.00,137.00,fixed
EPF_LOCAL,1240.01,1260.00,164.00,139.00,fixed
EPF_LOCAL,1260.01,1280.00,167.00,141.00,fixed
EPF_LOCAL,1280.01,1300.00,169.00,143.00,fixed
EPF_LOCAL,1300.01,1320.00,172.00,146.00,fixed
EPF_LOCAL,1320.01,1340.00,175.00,148.00,fixed
EPF_LOCAL,1340.01,1360.00,177.00,150.00,fixed
EPF_LOCAL,1360.01,1380.00,180.00,152.00,fixed
EPF_LOCAL,1380.01,1400.00,182.00,154.00,fixed
EPF_LOCAL,1400.01,1420.00,185.00,157.00,fixed
EPF_LOCAL,1420.01,1440.00,188.00,159.00,fixed
